"","grade","age","female","race","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_6","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","schid"
"286",11,16,0,"Hispanic",2,2,3,2,2,2,3,1,2,3,2,2
"287",11,16,1,"Black",2,2,2,3,2,2,3,2,2,3,3,2
"288",11,16,0,"Black",3,1,2,1,1,2,3,1,2,2,1,2
"289",11,16,0,"White",2,2,1,2,2,1,2,1,3,2,2,2
"290",11,16,1,"Black",3,2,3,2,3,2,2,3,3,2,1,2
"291",11,17,1,"Black",3,3,3,3,2,3,3,3,2,2,2,2
"292",11,17,0,"Black",2,2,1,2,2,1,2,1,1,1,2,2
"293",11,17,1,"Black",2,3,2,3,2,3,3,3,2,3,2,2
"294",11,17,0,"Black",2,2,2,1,1,2,3,2,1,1,2,2
"295",11,17,1,"Black",1,2,3,2,1,2,3,3,1,2,3,2
"296",11,16,0,"Black",3,2,1,2,1,2,1,1,1,2,1,2
"297",11,16,1,"Black",2,2,2,2,1,1,2,1,1,2,2,2
"298",11,18,1,"Other",2,2,3,3,2,2,3,3,2,3,3,2
"299",11,16,0,"Black",1,1,2,2,1,2,2,1,1,2,1,2
"300",11,18,0,"White",2,1,2,3,2,1,1,NA,2,NA,1,2
"301",11,16,0,"Black",3,2,2,1,1,1,1,1,1,1,1,2
"302",11,17,1,"White",2,2,3,2,1,2,3,2,1,2,2,2
"303",11,17,0,"Black",2,1,1,2,1,1,2,1,3,1,2,2
"304",11,17,0,"Black",3,1,3,3,1,2,3,2,2,3,3,2
"305",9,15,0,"Black",2,3,2,2,3,2,3,3,2,3,3,2
"306",11,17,1,"Black",3,2,3,3,2,2,3,3,3,2,1,2
"307",11,17,0,"Black",2,2,3,3,2,2,2,1,2,2,1,2
"308",9,14,0,"Black",2,3,3,3,2,1,3,2,3,3,2,2
"309",10,16,0,"White",2,1,2,3,2,2,3,3,2,2,3,2
"310",11,17,1,"Black",1,2,2,2,2,1,3,2,3,3,2,2
"311",11,17,1,"Black",3,2,3,2,3,1,3,1,2,3,1,2
"312",11,16,0,"Black",2,2,3,3,2,3,3,2,2,3,3,2
"313",11,17,1,"Black",1,1,1,2,1,2,1,3,2,2,2,2
"314",9,15,0,"Black",2,2,3,2,2,1,2,1,3,2,1,2
"315",11,16,0,"Black",3,2,2,3,2,3,3,1,2,2,2,2
"316",10,17,0,"Black",1,2,2,2,1,1,3,2,1,2,3,2
"317",11,16,0,"Other",2,2,2,3,3,2,3,1,3,2,2,2
"318",11,16,1,"Black",1,1,2,2,1,3,2,2,3,3,1,2
"319",11,NA,1,"Black",1,1,2,3,1,1,2,1,3,3,1,2
"320",11,16,1,"White",2,2,3,3,2,3,3,2,2,3,2,2
"321",11,16,0,"White",1,1,1,1,1,1,1,1,1,1,1,2
"322",11,17,1,"Black",2,1,2,2,1,2,3,2,2,1,1,2
"323",11,17,1,"Black",1,1,2,3,1,1,3,3,2,3,2,2
"324",11,17,1,"Black",1,1,1,1,1,1,1,1,3,1,1,2
"325",11,17,0,"Black",2,1,2,1,1,2,1,1,2,2,1,2
"326",11,16,0,"White",2,3,3,3,2,3,3,3,2,2,1,2
"327",11,16,1,"Black",3,3,3,3,2,3,3,2,3,3,3,2
"328",11,17,0,"Black",3,2,3,3,1,3,3,1,3,3,3,2
"329",11,16,0,"Black",1,2,1,2,2,1,3,2,1,2,2,2
"330",11,16,1,"Black",3,2,3,3,1,2,3,2,3,3,2,2
"331",11,16,0,"White",3,2,2,2,2,3,3,2,3,2,3,2
"332",11,17,0,"White",1,2,3,3,2,3,3,3,3,2,3,2
