SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
Holy Innocents Catholic Primary School,76.3807543,3.3,34.6,28.4803685
James Dixon Primary School,102.4726965,21.8,17.7,45.3803685
St Vincent's Catholic Primary School,67.2554871,4.2,36.2,26.8803685
Hawes Down Infant School,24.9569255,4.7,60.2,2.8803685
Biggin Hill Primary School,53.5076999,6.7,89.6,26.5196315
Wickham Common Primary School,32.5082401,2.6,79.2,16.1196315
Southborough Primary School,19.0493385,17,69.9,6.8196315
Chislehurst Church of England Primary,31.8653039,2.3,73.5,10.4196315
Churchfields Primary School,29.8627801,5.3,55.6,7.4803685
St John's Church of England Primary School,64.6224969,9.6,37.4,25.6803685
Bromley Road Primary School,49.9539377,17,42.2,20.8803685
Blenheim Primary School,25.4093485,38.4,57.1,5.9803685
Hillside Primary School,21.7249095,26.2,68.2,5.1196315
Bromley Trust Alternative Provision Academy,40.2835339,62.7,56.6,6.4803685
Edgebury Primary School,32.0779191,5.9,78.5,15.4196315
The Ravensbourne School,10.9264725,11.8,65.3,2.2196315
Crofton Junior School,30.0371021,6.2,76.8,13.7196315
Unicorn Primary School,24.2886731,3.5,70.5,7.4196315
Harris Primary Academy Beckenham,98.3076677,10.8,0,63.0803685
Harris Primary Academy Shortlands,100.7850531,2.8,32.7,30.3803685
St Paul's Cray Church of England Primary School,57.0149381,38.5,50,13.0803685
The Priory School,38.6870801,20.4,79.5,16.4196315
Trinity Church of England Primary School,23.6073395,19,54.4,8.6803685
Perry Hall Primary School,30.8392147,11,76.6,13.5196315
Valley Primary School,31.0307759,10.1,51.3,11.7803685
Hayes School,31.4469307,4.1,79.1,16.0196315
Burwood School,52.0983309,80,75,11.9196315
St Joseph's Catholic Primary School,42.6442801,0,47.2,15.8803685
Farnborough Primary School,36.2558241,6,79.1,16.0196315
Leesons Primary School,30.5606125,24.3,75,11.9196315
Kemnal Technology College,13.5847229,11,67.7,4.6196315
Hayes Primary School,32.4408747,3.7,76,12.9196315
Crofton Infant School,31.2254357,2.7,76.5,13.4196315
Alexandra Infant School,46.3233117,6.3,46.9,16.1803685
Midfield Primary School,25.5162379,19.3,69.7,6.6196315
Riverside School,35.2475191,32.7,52.6,10.4803685
Marjorie McClure School,24.0122203,33,68.1,5.0196315
Clare House Primary School,33.0736015,2.4,51.5,11.5803685
Stewart Fleming Primary School,53.3013875,12.2,39.5,23.5803685
Mead Road Infant School,36.2546349,4.7,58.2,4.8803685
Warren Road Primary School,29.6646665,3.1,65.9,2.8196315
The Highway Primary School,35.5491239,11.4,79.9,16.8196315
Green Street Green Primary School,47.5469307,5,87.1,24.0196315
Poverest Primary School,21.7722185,21.4,67.3,4.2196315
Darrick Wood Infant School,22.2377071,5.9,62.6,0.4803685
Balgowan Primary School,25.4527625,2.6,66.4,3.3196315
Highfield Junior School,22.0721145,2.1,63.2,0.1196315
Harris Academy Beckenham,55.2174937,18.5,38.9,24.1803685
Tubbenden Primary School,21.1178977,4.1,70.9,7.8196315
CCfL Key Stage 4 PRU,65.6808436,33.3,37,14.3471895
Argyle Primary School,77.8941536,28.5,4.1,18.5528105
Beckford Primary School,41.3292514,27,15.1,7.5528105
Brecknock Primary School,32.6696836,35.2,20.8,1.8528105
Brookfield Primary School,63.9648202,19.3,50.8,28.1471895
Carlton Primary School,50.8627622,41.8,16.2,6.4528105
Edith Neville Primary School,105.1941536,33,3,19.6528105
Fleet Primary School,38.376482,25.8,34.7,12.0471895
Hawley Infant School,61.2937852,16.2,30.4,7.7471895
Netley Primary School,70.2272652,36.3,6.4,16.2528105
New End Primary School,71.2498516,15.9,26.5,3.8471895
Primrose Hill School,42.5674106,25.7,17.8,4.8528105
Rhyl Primary School,79.2852154,38.9,5.7,16.9528105
Camden Primary Pupil Referral Unit,92.5739736,85,40,17.3471895
Torriano Primary School,33.51288,30.2,29.4,6.7471895
