SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
Shapla Primary School,55.5457693,27.4,0,9.1533119
Stebon Primary School,49.4835553,27.2,0.8,8.3533119
Hague Primary School,53.0538523,28.2,3,6.1533119
Harry Gosling Primary School,44.1834905,42.6,0,9.1533119
Ben Jonson Primary School,38.7597439,31.2,1.1,8.0533119
Canary Wharf College 2,137.5364269,6,16.7,7.5466881
Redlands Primary School,49.0160663,34.4,0.3,8.8533119
Blue Gate Fields Infants' School,49.0056617,28.4,0,9.1533119
Lansbury Lawrence Primary School,22.1926763,42.4,7.1,2.0533119
Manorfield Primary School,22.7613409,40.4,10.9,1.7466881
Bishop Challoner Catholic Federations of Boys School,105.9814339,26.9,19,9.8466881
Stewart Headlam Primary School,38.8257061,37.8,0.3,8.8533119
Old Ford Primary - A Paradigm Academy,13.2750589,42.8,8.7,0.4533119
The Cherry Trees School,162.3814367,62.5,54.2,45.0466881
Bangabandhu Primary School,36.5136477,36.5,0.9,8.2533119
Hermitage Primary School,26.9719751,30.3,5.8,3.3533119
Solebay Primary - A Paradigm Academy,56.0563739,31.4,16.9,7.7466881
Ian Mikardo School,116.3843095,59.4,43.8,34.6466881
East London Arts & Music,98.9487339,11.8,0,9.1533119
Chase Lane Primary School,30.1831334,10.6,24.2,6.5857115
Big Creative Academy,99.2945326,0,0,17.6142885
Downsell Primary School,49.0058256,19,2.9,14.7142885
Chapel End Junior Academy,28.811201,14.8,10.6,7.0142885
Highams Park School,51.2323872,9.8,40.9,23.2857115
Lammas School and Sixth Form,49.307049,21.6,5.3,12.3142885
Holy Family Catholic School,60.7225386,9.2,11.2,6.4142885
Yardley Primary School,58.9534282,13.3,42.9,25.2857115
Chapel End Infant School and Early Years Centre,37.2806084,11.2,10.9,6.7142885
Roger Ascham Primary School,39.7227346,17.4,16.3,1.3142885
Eden Girls' School Waltham Forest,110.9230648,22.2,0,17.6142885
Chingford Hall Primary School,35.6004564,25.3,16.4,1.2142885
Burnside Secondary PRU,47.9005712,15.5,13.4,4.2142885
Thomas Gamuel Primary School,71.0131322,16.2,3.2,14.4142885
Whitehall Primary School,57.858943,19.9,44.4,26.7857115
Riverley Primary School,47.8088404,19.2,3.2,14.4142885
Emmanuel Community School,63.7645364,14.5,4.9,12.7142885
Whittingham Primary Academy,35.1533216,13.8,9.3,8.3142885
Connaught School for Girls,61.3158056,13.1,3.9,13.7142885
Belmont Park School,95.469525,46,25.4,7.7857115
Stoneydown Park School,40.483528,15.3,14.7,2.9142885
Willow Brook Primary School Academy,50.294776,25.6,4,13.6142885
The Winns Primary School,40.1523028,14,19.5,1.8857115
Hornbeam Academy Special Academy,34.2073458,28,18.9,1.2857115
South Grove Primary School,43.415691,15,6.2,11.4142885
Davies Lane Primary School,28.404345,11.7,11.1,6.5142885
Sybourn Primary School,47.8638952,18.3,4.1,13.5142885
Mission Grove Primary School,48.2138828,13.3,4.8,12.8142885
Coppermill Primary School,26.418306,9,20.4,2.7857115
Barn Croft Primary School,62.495185,17.7,11.7,5.9142885
Walthamstow Academy,24.3355534,23.1,14.9,2.7142885
Woodford Green Primary School,58.564024,10.9,38.7,21.0857115
St Joseph's Catholic Junior School,67.2219396,12.4,5.2,12.4142885
Mayville Primary School,49.59369,17.4,2.6,15.0142885
Our Lady and St George's Catholic Primary School,63.391823,13.8,11.7,5.9142885
St Patrick's Catholic Primary School,73.9719186,7.7,11.3,6.3142885
Dawlish Primary School,55.9823606,10.4,6.6,11.0142885
Hillyfield Primary Academy,27.707164,13.2,15.2,2.4142885
Whitefield Schools and Centre,32.9242072,37.4,13.5,4.1142885
Joseph Clarke School,37.593032,38.2,18.3,0.6857115
George Mitchell School,48.837594,19.4,4.2,13.4142885
Heathcote School & Science College,52.4735534,14,39.6,21.9857115
Norlington School for Boys,64.039828,15.6,3.8,13.8142885
Willowfield Humanities College,25.313807,19.7,12,5.6142885
Leytonstone School,36.4241846,15.8,11.4,6.2142885
Walthamstow School for Girls,35.8492008,14.6,16.6,1.0142885
Kelmscott School,48.0460512,22.8,6.4,11.2142885
Larkswood Primary School,42.9690072,20.2,34.9,17.2857115
Newport School,42.5996024,10.9,5,12.6142885
Walthamstow Primary Academy,99.2945326,13.3,0,17.6142885
Edinburgh Primary School,51.7425744,14.7,11.3,6.3142885
Greenleaf Primary School,44.8823912,12.4,13.5,4.1142885
Handsworth Primary School,68.2102714,5.1,45.8,28.1857115
Thorpe Hall Primary School,29.7190114,20.5,19.2,1.5857115
Barclay Primary School,60.4013996,17.5,4.4,13.2142885
Chingford Foundation School,50.1029704,12.1,39.8,22.1857115
Oakhill Primary School,91.9051736,8.3,49.8,32.1857115
Henry Maynard Primary School,44.0483386,11.3,31.7,14.0857115
Hawkswood,96.476045,11.8,47.1,29.4857115
Hawkswood Primary PRU,126.558607,58.3,25,7.3857115
Gwyn Jones Primary School,18.9955236,6.9,21,3.3857115
George Tomlinson Primary School,41.4791524,13.5,15.6,2.0142885
Rushcroft Foundation School,35.5717786,18.3,15.6,2.0142885
Ainslie Wood Primary School,46.7862574,16.9,26.6,8.9857115
Selwyn Primary School,32.723149,29.8,21.2,3.5857115
Buxton School,46.4607458,19.5,6.6,11.0142885
Parkside Primary School,38.9602196,26.6,22.9,5.2857115
Jenny Hammond Primary School,50.3025112,15.3,9.6,8.0142885
Chingford CofE Primary School,110.8004788,10,70.5,52.8857115
St Mary's Catholic Primary School,80.1640326,7.8,50.5,32.8857115
The Woodside Primary Academy,45.2258196,19.8,5,12.6142885
Longshaw Primary School,43.9017472,15.9,28.9,11.2857115
St Saviour's Church of England Primary School,86.6911396,12.4,5.1,12.5142885
St Joseph's Catholic Infant School,73.1151732,13.6,5.3,12.3142885
St Mary's Walthamstow CofE Voluntary Aided Primary School,64.4272584,7.6,29.2,11.5857115
Frederick Bremer School,16.6475266,20.2,14.2,3.4142885
Alderbrook Primary School,21.2864857,16.5,22.4,3.9427664
Ashcroft Technology Academy,38.0425931,18.7,16,10.3427664
Our Lady Queen of Heaven RC School,70.3821253,8,28.6,2.2572336
Ark Putney Academy,22.8310425,33.8,25.6,0.7427664
St Anselm's Catholic Primary School,76.3029743,0,52.6,26.2572336
Westbridge Primary School,76.1913947,43.9,12.2,14.1427664
Hillbrook School,25.4545767,24.4,19,7.3427664
Chesterton Primary School,57.7295409,39.6,10.2,16.1427664
Garratt Park School,47.5655501,43.4,34.1,7.7572336
Graveney School,38.0141495,6.9,39.2,12.8572336
Fircroft Primary School,40.6863991,13.2,26.6,0.2572336
Harris Academy Battersea,49.2350275,28.8,15.1,11.2427664
Victoria Drive Primary Pupil Referral Unit,98.7980075,0,0,26.3427664
Griffin Primary School,78.1339301,31.4,5.7,20.6427664
Shaftesbury Park Primary School,43.5916259,23.5,25.8,0.5427664
Greenmead School,61.5211667,35.5,49,22.6572336
St Faith's CofE Primary School,62.3119261,19.9,35.2,8.8572336
Gatton (VA) Primary School,107.3937625,16.4,0.3,26.0427664
Ravenstone Primary School,44.6849265,6.7,40.1,13.7572336
Riversdale Primary School,56.2643949,17.9,34.9,8.5572336
Sacred Heart Catholic Primary School Battersea,49.5699395,18.4,13.2,13.1427664
Franciscan Primary School,49.4546345,18.4,10.6,15.7427664
Falconbrook Primary School,77.9522379,31.3,9.1,17.2427664
Earlsfield Primary School,39.2164307,13.7,43,16.6572336
St Joseph's RC Primary School,57.0193475,17.7,24,2.3427664
West Hill Primary School,54.9045335,24.8,6.3,20.0427664
Smallwood Primary School and Language Unit,27.7962169,25.9,20.7,5.6427664
Ernest Bevin College,62.2365865,14.2,5.9,20.4427664
Bradstow School,85.8766099,0,63.2,36.8572336
Chestnut Grove School,25.0393879,12.7,25.6,0.7427664
St George's CofE Primary School,61.6307537,45.7,11,15.3427664
Burntwood School,42.6153623,15.4,15.1,11.2427664
Penwortham Primary School,30.9789199,13.5,34.5,8.1572336
Broadwater Primary School,62.0767541,10.6,6.3,20.0427664
Sacred Heart Catholic Primary School Roehampton,38.6648859,18.4,20.5,5.8427664
Albemarle Primary School,44.0692173,16.8,18.8,7.5427664
Eardley School,56.9663875,21,10.4,15.9427664
Swaffield Primary School,22.4559917,14.9,28.8,2.4572336
Christ Church CofE Primary School,84.9973145,45.8,10.7,15.6427664
Nightingale School,97.8627779,45.6,36.7,10.3572336
All Saints' CofE Primary School Putney,92.9446145,4.3,71.8,45.4572336
Francis Barber Pupil Referral Unit,45.9945711,41.3,24.8,1.5427664
John Burns Primary School,39.1504477,28.1,28.8,2.4572336
Hotham Primary School,40.2952931,11.5,28.8,2.4572336
Belleville Primary School,70.1427375,4.4,48.4,22.0572336
Beatrix Potter Primary School,74.8138609,6.3,60.8,34.4572336
St Mary's RC Voluntary Aided Primary School,74.6564251,30.8,6.7,19.6427664
Southfields Academy,29.9862547,22.3,21.4,4.9427664
St Michael's CofE Primary School,88.3247473,2.7,63.1,36.7572336
St Mary's CofE Primary School,89.6732313,5.9,57.2,30.8572336
Paddock School,36.4876985,41.4,20.1,6.2427664
High View Primary School,48.4654635,26.1,13.3,13.0427664
Brandlehow Primary School,69.4373665,6.3,42.6,16.2572336
Saint Cecilia's Church of England School,35.0964481,12.7,41.8,15.4572336
Mosaic Jewish Primary School,89.4543171,1.4,47.2,20.8572336
Holy Ghost Catholic Primary School,95.3732313,2.4,65,38.6572336
Floreat Wandsworth Primary School,98.7980075,2.3,0,26.3427664
Roehampton CofE Primary School,26.9736933,27.7,22,4.3427664
Honeywell Infant School,88.9522091,2.7,51.1,24.7572336
Ronald Ross Primary School,77.7667053,22.2,10.3,16.0427664
Saint John Bosco College,59.0028877,19.6,9.5,16.8427664
Granard Primary School,30.3857927,28.8,31,4.6572336
Trinity St Mary's CofE Primary School,65.4152757,59.5,18.2,8.1427664
Oak Lodge School,64.5197805,29.1,21.5,4.8427664
Wandsworth Hospital and Home Tuition Service,96.8560497,0,54.5,28.1572336
Tooting Primary School,34.2960727,15.5,27.2,0.8572336
Sellincourt Primary School,54.5825005,17.8,10.5,15.8427664
Allfarthing Primary School,64.1334681,8.5,56.5,30.1572336
Ark Bolingbroke Academy,41.2784291,27.1,35.6,9.2572336
St Anne's CofE Primary School,55.3083741,32,17.6,8.7427664
Honeywell Junior School,78.9522091,4.5,51.5,25.1572336
Sheringdale Primary School,72.7367023,4.7,45.2,18.8572336
Heathmere Primary School,22.9069305,33,21.6,4.7427664
Rutherford House School,54.0644239,7.5,41.7,15.3572336
Southmead Primary School,81.7069595,27.5,17.5,8.8427664
Furzedown Primary School,35.2983251,9.3,31.4,5.0572336
Wix Primary School,47.8937627,14.6,26.3,0.0427664
Our Lady of Victories Catholic Primary School,99.9932717,1.5,44.3,17.9572336
St Boniface RC Primary School,83.8154201,3.5,19.3,7.0427664
The Alton School,68.7942537,31.5,15.6,10.7427664
Linden Lodge School,41.3082009,28.6,42.9,16.5572336
Hallfield Primary School,49.3951179,32.1,1.4,12.4277656
Hampden Gurney CofE Primary School,92.1554101,5.1,31,17.1722344
George Eliot Primary School,42.4810355,29,4.8,9.0277656
St Joseph's RC Primary School,93.6718935,4.7,13.4,0.4277656
Robinsfield Infant School,75.5863763,11.9,17.5,3.6722344
Churchill Gardens Primary Academy,43.4936999,35,7,6.8277656
St Mary Magdalene CofE Primary School,24.7540895,30.4,18.5,4.6722344
Queen's Park Primary School,50.2133417,37.9,6,7.8277656
St Edward's Catholic Primary School,44.4756541,24.1,12.4,1.4277656
St Stephen's CofE Primary School,43.9921173,39.8,3.9,9.9277656
St Luke's CofE Primary School,45.1348061,17,5.6,8.2277656
The St Marylebone CofE School,73.3684523,12,42.5,28.6722344
Westminster Academy,40.5522097,32.8,1.8,12.0277656
All Souls CofE Primary School,52.6660325,22.4,10.6,3.2277656
St George's Catholic School,43.5391069,19.7,18.6,4.7722344
Westminster City School,67.1363665,23.7,5.8,8.0277656
St Clement Danes CofE Primary School,63.4011191,25.1,24.4,10.5722344
Ark King Solomon Academy,46.3942577,43,2.9,10.9277656
St Saviour's CofE Primary School,94.0561701,5.1,41.1,27.2722344
Paddington Green Primary School,78.6571905,36.4,6.3,7.5277656
St Augustine's CofE High School,44.7294051,31.2,4,9.8277656
St James & St John Church of England Primary School,69.3232035,13.5,14.1,0.2722344
Burdett-Coutts and Townshend Foundation CofE Primary School,42.5766343,30.1,18.4,4.5722344
St George's Hanover Square CofE Primary School,69.6145217,6.5,37.1,23.2722344
Harris Westminster Sixth Form,43.6731737,13.5,17.3,3.4722344
Essendine Primary School,73.6093409,27.6,1.1,12.7277656
Edward Wilson Primary School,72.9547699,44.2,2.2,11.6277656
Marylebone Boys' School,41.6308851,20.7,19,5.1722344
Millbank Academy,43.3874967,34.9,6.8,7.0277656
Christ Church Bentinck CofE Primary School,51.3215831,29.6,5.8,8.0277656
The St Marylebone Church of England Bridge School,66.6614913,51.5,12.1,1.7277656
Soho Parish CofE Primary School,72.6807749,13.1,25.6,11.7722344
Gateway Academy,65.5543499,33.3,0.7,13.1277656
Wilberforce Primary,55.9874967,34.7,2.4,11.4277656
Our Lady of Dolours RC Primary School,66.9475487,30.9,10.7,3.1277656
St Augustine's CofE Primary School,67.0748141,28.3,3.9,9.9277656
College Park School,46.3873763,60.2,19.1,5.2722344
St Gabriel's CofE Primary School,22.9188629,28.4,16.7,2.8722344
Westminster Cathedral RC Primary School,68.5171223,14.9,29.4,15.5722344
Queen Elizabeth II Jubilee School,37.4473285,29.9,11.5,2.3277656
Barrow Hill Junior School,35.4629315,20.7,15.1,1.2722344
St Barnabas' CofE Primary School,47.2676125,36,8.3,5.5277656
St Vincent de Paul RC Primary School,74.2971581,6.3,14.2,0.3722344
Pimlico Primary,59.9660123,34.3,10.5,3.3277656
St Peter's Eaton Square CofE Primary School,66.4320453,3.4,40.3,26.4722344
St Vincent's RC Primary School,89.7950579,11.7,23.6,9.7722344
The Grey Coat Hospital,72.6446877,9.2,35.6,21.7722344
St Peter's CofE School,40.5428877,24.6,20.9,7.0722344
St Matthew's School Westminster,42.9201629,25.8,9.7,4.1277656
Pimlico Academy,27.8114411,39.7,23.4,9.5722344
Paddington Academy,45.1945781,39.2,2.4,11.4277656
Quintin Kynaston,35.4547699,38,3.9,9.9277656
The Minerva Academy,85.4549699,16.7,4.8,9.0277656
Ark Atwood Primary Academy,78.3482485,22.5,38.8,24.9722344
St Mary's Bryanston Square CofE School,36.9146219,15.8,16.2,2.3722344
Beachcroft Ap Academy,49.5325455,41.7,18.3,4.4722344
St Mary of the Angels RC Primary School,64.7381667,16.5,16.7,2.8722344
